NAME,B01001_001E,B19013_001E,B25001_001E,B25003_001E,B25003_002E,B25077_001E,B25034_001E,B25034_006E,B25034_011E,B08303_001E,B08303_012E,B08303_013E,B08201_001E,B08201_002E,B17001_001E,B17001_002E,state,county,tract,population_total,population_total_moe,median_household_income,median_household_income_moe,housing_units_total,housing_units_total_moe,occupied_units_total,occupied_units_total_moe,owner_occupied_units,owner_occupied_units_moe,median_home_value,median_home_value_moe,housing_built_total,housing_built_total_moe,housing_built_1980_1989,housing_built_1980_1989_moe,housing_built_1979_earlier,housing_built_1979_earlier_moe,workers_commute_total,workers_commute_total_moe,workers_commute_60_89,workers_commute_60_89_moe,workers_commute_90_plus,workers_commute_90_plus_moe,households_vehicle_total,households_vehicle_total_moe,households_no_vehicle,households_no_vehicle_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,GEOID,homeownership_rate,long_commute_share,poverty_rate,no_vehicle_share,old_housing_share,income_per_housing_unit,commute_stress_index,housing_risk_proxy,income_moe_ratio,poor_quality_income,opportunity_score,risk_score
Census Tract 101; Cook County; Illinois,4198,74145,2905,2284,688,340700,2905,0,1603,1955,311,0,2284,695,4097,545,17,031,010100,4198,4198,74145,74145,2905,2905,2284,2284,688,688,340700,340700,2905,2905,0,0,1603,1603,1955,1955,311,311,0,0,2284,2284,695,695,4097,4097,545,545,17031010100,0.30122591943957966,0.15907928388746803,0.13302416402245545,0.3042907180385289,0.5518072289156627,25.523235800344235,0.04840634951917263,0.3855885890321356,1.0,True,0.7074744469824973,0.3776600154819513
Census Tract 102.01; Cook County; Illinois,7361,63056,3276,2972,925,239900,3276,85,1489,3358,399,38,2972,887,7352,1816,17,031,010201,7361,7361,63056,63056,3276,3276,2972,2972,925,925,239900,239900,3276,3276,85,85,1489,1489,3358,3358,399,399,38,38,2972,2972,887,887,7352,7352,1816,1816,17031010201,0.3112382234185734,0.13013698630136986,0.2470076169749728,0.2984522207267833,0.4804639804639805,19.247863247863247,0.03883967256033481,0.3309252247677551,1.0,True,0.6598118959612004,0.3793805663466838
Census Tract 102.02; Cook County; Illinois,2482,53220,1306,1139,250,338000,1306,67,474,893,117,107,1139,422,2194,571,17,031,010202,2482,2482,53220,53220,1306,1306,1139,1139,250,250,338000,338000,1306,1306,67,67,474,474,893,893,117,117,107,107,1139,1139,422,422,2194,2194,571,571,17031010202,0.21949078138718173,0.25083986562150057,0.26025524156791247,0.37050043898156276,0.41424196018376724,40.750382848392036,0.09293628032684217,0.3233196686596744,1.0,True,0.623297715694359,0.45019728993261476
Census Tract 103; Cook County; Illinois,6477,73105,3420,3243,1067,248500,3420,422,1692,2580,417,148,3243,1128,5516,741,17,031,010300,6477,6477,73105,73105,3420,3420,3243,3243,1067,1067,248500,248500,3420,3420,422,422,1692,1692,2580,2580,417,417,148,148,3243,3243,1128,1128,5516,5516,741,741,17031010300,0.3290163428923836,0.2189922480620155,0.13433647570703408,0.34782608695652173,0.6181286549707602,21.375730994152047,0.07617121671722278,0.4147542254752927,1.0,True,0.7161502936034226,0.44118555736722587
Census Tract 104; Cook County; Illinois,4545,54083,2451,2099,467,231100,2451,141,1181,1702,200,74,2099,947,3108,341,17,031,010400,4545,4545,54083,54083,2451,2451,2099,2099,467,467,231100,231100,2451,2451,141,141,1181,1181,1702,1702,200,200,74,74,2099,2099,947,947,3108,3108,341,341,17031010400,0.22248689852310624,0.1609870740305523,0.10971685971685971,0.4511672224868985,0.5393716850265198,22.065687474500205,0.07263209104665698,0.41936855167378767,1.0,True,0.6916454088096374,0.41471553661678395
Census Tract 105.01; Cook County; Illinois,3718,48833,2691,2458,393,400300,2691,277,1014,2053,265,16,2458,1290,3718,596,17,031,010501,3718,3718,48833,48833,2691,2691,2458,2458,393,393,400300,400300,2691,2691,277,277,1014,1014,2053,2053,265,265,16,16,2458,2458,1290,1290,3718,3718,596,596,17031010501,0.1598860862489829,0.13687286897223574,0.16030123722431414,0.5248169243287225,0.47974730583426234,18.14678558156819,0.071833198118057,0.4030423867159283,1.0,True,0.6481451750932941,0.4265259931215693
Census Tract 105.02; Cook County; Illinois,3286,63125,1857,1606,384,296100,1857,96,1129,1502,283,52,1606,608,3095,566,17,031,010502,3286,3286,63125,63125,1857,1857,1606,1606,384,384,296100,296100,1857,1857,96,96,1129,1129,1502,1502,283,283,52,52,1606,1606,608,608,3095,3095,566,566,17031010502,0.23910336239103364,0.22303595206391477,0.18287560581583198,0.37858032378580325,0.6596661281637048,33.992999461497035,0.08443702294823174,0.5019377388642885,1.0,True,0.6644586519186952,0.481025465560835
Census Tract 105.03; Cook County; Illinois,2757,32443,1572,1455,154,431800,1572,116,495,1125,60,16,1455,801,2757,1151,17,031,010503,2757,2757,32443,32443,1572,1572,1455,1455,154,154,431800,431800,1572,1572,116,116,495,495,1125,1125,60,60,16,16,1455,1455,801,801,2757,2757,1151,1151,17031010503,0.10584192439862543,0.06755555555555555,0.4174827711280377,0.5505154639175258,0.388676844783715,20.638040712468193,0.03719037800687285,0.34753853956262076,1.0,True,0.5150632009189426,0.46036961135267956
Census Tract 106; Cook County; Illinois,6467,72500,3181,3132,1330,232100,3181,138,1656,3287,797,19,3132,1261,6295,1028,17,031,010600,6467,6467,72500,72500,3181,3181,3132,3132,1330,1330,232100,232100,3181,3181,138,138,1656,1656,3287,3287,797,797,19,19,3132,3132,1261,1261,6295,6295,1028,1028,17031010600,0.42464878671775225,0.2482506845147551,0.16330420969023035,0.40261813537675606,0.5639735932096825,22.79157497642251,0.09995022770533403,0.32448289111233974,1.0,True,0.7350677539653044,0.4684168089827927
Census Tract 107.01; Cook County; Illinois,3478,74813,1782,1687,852,367200,1782,143,1025,1394,147,0,1687,230,3478,359,17,031,010701,3478,3478,74813,74813,1782,1782,1687,1687,852,852,367200,367200,1782,1782,143,143,1025,1025,1394,1394,147,147,0,0,1687,1687,230,230,3478,3478,359,359,17031010701,0.5050385299347955,0.1054519368723099,0.10322024151811386,0.13633669235328985,0.6554433221099888,41.982603815937146,0.014376968275418657,0.3244191902559814,1.0,True,0.7887461340955905,0.3150052872630751
Census Tract 107.02; Cook County; Illinois,4739,61724,2183,1948,342,230600,2183,118,788,1970,278,98,1948,721,4732,682,17,031,010702,4739,4739,61724,61724,2183,2183,1948,1948,342,342,230600,230600,2183,2183,118,118,788,788,1970,1970,278,278,98,98,1948,1948,721,721,4732,4732,682,682,17031010702,0.175564681724846,0.19086294416243654,0.1441251056635672,0.3701232032854209,0.41502519468621163,28.27485112230875,0.07064280428188745,0.34216142847333464,1.0,True,0.6606147690658045,0.3807262353395023
